,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genres
J'en ai plein mon cass,0.737,0.554,11,-6.279,0,0.0926,0.596,0.0,0.0915,0.614,131.289,audio_features,7oG3MWyTJHJJdSgy66hv2O,spotify:track:7oG3MWyTJHJJdSgy66hv2O,https://api.spotify.com/v1/tracks/7oG3MWyTJHJJdSgy66hv2O,https://api.spotify.com/v1/audio-analysis/7oG3MWyTJHJJdSgy66hv2O,217293,4,46,"['indie quebecois', 'pop quebecois']"
Miracle Gro,0.739,0.676,7,-7.354,1,0.303,0.0535,0.0,0.218,0.556,90.033,audio_features,7sw544QR3eAN1zTnF4evlk,spotify:track:7sw544QR3eAN1zTnF4evlk,https://api.spotify.com/v1/tracks/7sw544QR3eAN1zTnF4evlk,https://api.spotify.com/v1/audio-analysis/7sw544QR3eAN1zTnF4evlk,112927,4,36,['escape room']
Come Back to Earth,0.272,0.238,2,-12.148,0,0.0349,0.89,0.00925,0.275,0.119,83.507,audio_features,01z2fBGB8Hl3Jd3zXe4IXR,spotify:track:01z2fBGB8Hl3Jd3zXe4IXR,https://api.spotify.com/v1/tracks/01z2fBGB8Hl3Jd3zXe4IXR,https://api.spotify.com/v1/audio-analysis/01z2fBGB8Hl3Jd3zXe4IXR,161840,4,71,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
Vincent,0.419,0.085,7,-19.387,1,0.0362,0.908,5.33e-06,0.34,0.458,91.509,audio_features,0VNzEY1G4GLqcNx5qaaTl6,spotify:track:0VNzEY1G4GLqcNx5qaaTl6,https://api.spotify.com/v1/tracks/0VNzEY1G4GLqcNx5qaaTl6,https://api.spotify.com/v1/audio-analysis/0VNzEY1G4GLqcNx5qaaTl6,243493,3,68,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'traditional folk']"
In Heaven,0.376,0.715,11,-5.499,0,0.0421,0.0956,0.0,0.189,0.411,121.974,audio_features,7vKMp9RBcZHn9ZaZhy2DVv,spotify:track:7vKMp9RBcZHn9ZaZhy2DVv,https://api.spotify.com/v1/tracks/7vKMp9RBcZHn9ZaZhy2DVv,https://api.spotify.com/v1/audio-analysis/7vKMp9RBcZHn9ZaZhy2DVv,230322,4,34,"['art pop', 'dream pop', 'indie pop', 'indie rock', 'indietronica', 'philly indie']"
"Suite bergamasque, L.75: 3. Clair de lune",0.265,0.00415,1,-32.069,1,0.0622,0.994,0.905,0.066,0.0393,72.807,audio_features,7iuTh5m0wpKJWKMX1mBe3C,spotify:track:7iuTh5m0wpKJWKMX1mBe3C,https://api.spotify.com/v1/tracks/7iuTh5m0wpKJWKMX1mBe3C,https://api.spotify.com/v1/audio-analysis/7iuTh5m0wpKJWKMX1mBe3C,353000,3,16,"['classical', 'post-romantic era']"
Foreword (feat. Rex Orange County),0.734,0.671,1,-7.107,1,0.0315,0.118,0.00317,0.352,0.113,94.025,audio_features,33i3xxHB4YSYGYbtJrwwO8,spotify:track:33i3xxHB4YSYGYbtJrwwO8,https://api.spotify.com/v1/tracks/33i3xxHB4YSYGYbtJrwwO8,https://api.spotify.com/v1/audio-analysis/33i3xxHB4YSYGYbtJrwwO8,194080,4,63,"['hip hop', 'rap']"
Drew Barrymore,0.578,0.523,0,-5.538,0,0.0429,0.493,0.0,0.147,0.29,134.931,audio_features,06u5LrUpbosQlQ1QJFhPpG,spotify:track:06u5LrUpbosQlQ1QJFhPpG,https://api.spotify.com/v1/tracks/06u5LrUpbosQlQ1QJFhPpG,https://api.spotify.com/v1/audio-analysis/06u5LrUpbosQlQ1QJFhPpG,231400,4,65,"['pop', 'pop rap', 'rap']"
YEAH RIGHT,0.672,0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033,audio_features,5gFmgXPCLu9xIfMUXSbRru,spotify:track:5gFmgXPCLu9xIfMUXSbRru,https://api.spotify.com/v1/tracks/5gFmgXPCLu9xIfMUXSbRru,https://api.spotify.com/v1/audio-analysis/5gFmgXPCLu9xIfMUXSbRru,174358,4,2,"['alternative r&b', 'viral pop']"
Intern,0.213,0.185,7,-9.263,1,0.0319,0.151,0.0,0.0753,0.317,84.508,audio_features,5zkLEeNpJzyXW2CIdUWfKY,spotify:track:5zkLEeNpJzyXW2CIdUWfKY,https://api.spotify.com/v1/tracks/5zkLEeNpJzyXW2CIdUWfKY,https://api.spotify.com/v1/audio-analysis/5zkLEeNpJzyXW2CIdUWfKY,166720,4,43,"['alternative americana', 'art pop', 'chamber pop', 'chamber psych', 'dream pop', 'electropop', 'experimental pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock']"
There Are Worse Things I Could Do,0.49,0.249,7,-13.909,1,0.0342,0.856,9.72e-06,0.102,0.164,101.395,audio_features,4QylPpokypCmaiCecvfrIM,spotify:track:4QylPpokypCmaiCecvfrIM,https://api.spotify.com/v1/tracks/4QylPpokypCmaiCecvfrIM,https://api.spotify.com/v1/audio-analysis/4QylPpokypCmaiCecvfrIM,143160,3,5,['hollywood']
When I Write My Master's Thesis,0.334,0.792,6,-7.821,1,0.0391,0.00412,0.176,0.175,0.531,154.831,audio_features,0liT69dkJVAZxG3O2Lpkik,spotify:track:0liT69dkJVAZxG3O2Lpkik,https://api.spotify.com/v1/tracks/0liT69dkJVAZxG3O2Lpkik,https://api.spotify.com/v1/audio-analysis/0liT69dkJVAZxG3O2Lpkik,214627,4,21,"['canadian folk', 'canadian indie', 'manitoba indie']"
Fast Car,0.711,0.292,4,-15.523,0,0.037,0.313,0.0,0.131,0.194,103.951,audio_features,2M9ro2krNb7nr7HSprkEgo,spotify:track:2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/tracks/2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/audio-analysis/2M9ro2krNb7nr7HSprkEgo,296800,4,76,"['folk', 'lilith', 'pop rock', 'singer-songwriter']"
In Undertow,0.357,0.69,1,-2.626,1,0.044,0.000115,0.00167,0.101,0.308,116.91,audio_features,62aVUwKBO011toWqns7OZF,spotify:track:62aVUwKBO011toWqns7OZF,https://api.spotify.com/v1/tracks/62aVUwKBO011toWqns7OZF,https://api.spotify.com/v1/audio-analysis/62aVUwKBO011toWqns7OZF,197187,4,37,"['art pop', 'indie pop', 'indie rock', 'shoegaze', 'toronto indie']"
Brutus,0.731,0.548,11,-10.983,0,0.254,0.00145,0.0501,0.158,0.392,139.997,audio_features,57gfWnvoMmnXBdghubxWrg,spotify:track:57gfWnvoMmnXBdghubxWrg,https://api.spotify.com/v1/tracks/57gfWnvoMmnXBdghubxWrg,https://api.spotify.com/v1/audio-analysis/57gfWnvoMmnXBdghubxWrg,233143,4,46,['escape room']
"Concerning the UFO sighting near Highland, Illinois",0.452,0.149,7,-14.99,1,0.0378,0.987,0.304,0.165,0.389,131.071,audio_features,2Swpr4UiCfYUl1wbxrduBs,spotify:track:2Swpr4UiCfYUl1wbxrduBs,https://api.spotify.com/v1/tracks/2Swpr4UiCfYUl1wbxrduBs,https://api.spotify.com/v1/audio-analysis/2Swpr4UiCfYUl1wbxrduBs,128987,4,49,"['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter']"
Wouldn't Leave,0.555,0.433,3,-8.559,1,0.546,0.494,0.0,0.313,0.352,164.236,audio_features,3dG6tjetoR4GMmUGZUprLt,spotify:track:3dG6tjetoR4GMmUGZUprLt,https://api.spotify.com/v1/tracks/3dG6tjetoR4GMmUGZUprLt,https://api.spotify.com/v1/audio-analysis/3dG6tjetoR4GMmUGZUprLt,205547,4,2,"['chicago rap', 'rap']"
Who Dat Boy (feat. A$AP Rocky),0.706,0.485,8,-9.671,1,0.331,0.337,0.0,0.122,0.144,115.414,audio_features,21yRtB6B8EMounImAfHRCP,spotify:track:21yRtB6B8EMounImAfHRCP,https://api.spotify.com/v1/tracks/21yRtB6B8EMounImAfHRCP,https://api.spotify.com/v1/audio-analysis/21yRtB6B8EMounImAfHRCP,205093,4,70,"['hip hop', 'rap']"
Dehors,0.537,0.309,3,-15.281,1,0.1,0.874,0.0,0.1,0.697,145.1,audio_features,5FcJnrLew75vDHaLvVSwj9,spotify:track:5FcJnrLew75vDHaLvVSwj9,https://api.spotify.com/v1/tracks/5FcJnrLew75vDHaLvVSwj9,https://api.spotify.com/v1/audio-analysis/5FcJnrLew75vDHaLvVSwj9,173840,4,40,"['indie quebecois', 'pop quebecois']"
Nobody,0.392,0.718,0,-5.253,1,0.0401,0.0777,0.0,0.0848,0.49,117.433,audio_features,52yC8pZMs3XELEqAp1BpHp,spotify:track:52yC8pZMs3XELEqAp1BpHp,https://api.spotify.com/v1/tracks/52yC8pZMs3XELEqAp1BpHp,https://api.spotify.com/v1/audio-analysis/52yC8pZMs3XELEqAp1BpHp,193429,4,38,"['art pop', 'brooklyn indie', 'chamber pop', 'dance pop', 'escape room', 'indie pop', 'indie rock']"
The Woman That Loves You,0.517,0.772,6,-5.941,0,0.0401,0.000334,0.653,0.104,0.33,109.836,audio_features,1Ddmip7ro8VGzhTbDE4pcg,spotify:track:1Ddmip7ro8VGzhTbDE4pcg,https://api.spotify.com/v1/tracks/1Ddmip7ro8VGzhTbDE4pcg,https://api.spotify.com/v1/audio-analysis/1Ddmip7ro8VGzhTbDE4pcg,144678,4,36,"['art pop', 'dream pop', 'indie pop', 'indie rock', 'indietronica', 'philly indie']"
All There Is,0.58,0.158,4,-12.236,1,0.038,0.865,0.00068,0.0984,0.163,131.969,audio_features,6hN8XWJEnsCSBZJ4v8Ckdq,spotify:track:6hN8XWJEnsCSBZJ4v8Ckdq,https://api.spotify.com/v1/tracks/6hN8XWJEnsCSBZJ4v8Ckdq,https://api.spotify.com/v1/audio-analysis/6hN8XWJEnsCSBZJ4v8Ckdq,142667,4,43,"['chamber pop', 'indie folk', 'neo mellow', 'new americana', 'pop folk', 'stomp and flutter', 'stomp and holler']"
Helplessly Hoping,0.567,0.159,7,-13.648,1,0.0331,0.914,0.0,0.111,0.436,146.913,audio_features,1UKobFsdqNXQb8OthimCKe,spotify:track:1UKobFsdqNXQb8OthimCKe,https://api.spotify.com/v1/tracks/1UKobFsdqNXQb8OthimCKe,https://api.spotify.com/v1/audio-analysis/1UKobFsdqNXQb8OthimCKe,157893,4,64,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'traditional folk']"
Goodbye,0.331,0.942,11,-4.884,0,0.0916,0.000111,0.606,0.369,0.259,127.685,audio_features,68hUMa69Bs8mXLSaM1NqSD,spotify:track:68hUMa69Bs8mXLSaM1NqSD,https://api.spotify.com/v1/tracks/68hUMa69Bs8mXLSaM1NqSD,https://api.spotify.com/v1/audio-analysis/68hUMa69Bs8mXLSaM1NqSD,160000,4,0,"['indie pop', 'indie rock', 'indie surf', 'indietronica', 'la indie', 'metropopolis', 'noise pop', 'nu gaze']"
autumn,0.628,0.197,4,-13.269,1,0.0457,0.8,0.147,0.114,0.783,78.981,audio_features,72r04MeYrO4SflO1sGe2Tz,spotify:track:72r04MeYrO4SflO1sGe2Tz,https://api.spotify.com/v1/tracks/72r04MeYrO4SflO1sGe2Tz,https://api.spotify.com/v1/audio-analysis/72r04MeYrO4SflO1sGe2Tz,79832,4,38,"['chillhop', 'lo-fi beats']"
Letter in Icelandic from the Ninette San,0.64,0.204,2,-14.527,1,0.0372,0.249,0.000293,0.163,0.274,122.044,audio_features,6b5UoIfmr9xNXs5Vh3GLp4,spotify:track:6b5UoIfmr9xNXs5Vh3GLp4,https://api.spotify.com/v1/tracks/6b5UoIfmr9xNXs5Vh3GLp4,https://api.spotify.com/v1/audio-analysis/6b5UoIfmr9xNXs5Vh3GLp4,239800,3,15,"['canadian folk', 'canadian indie', 'manitoba indie']"
Chum,0.51,0.503,10,-8.756,0,0.242,0.0216,0.002,0.108,0.193,153.582,audio_features,6plT7nFGiXKSBP9HFSI4ef,spotify:track:6plT7nFGiXKSBP9HFSI4ef,https://api.spotify.com/v1/tracks/6plT7nFGiXKSBP9HFSI4ef,https://api.spotify.com/v1/audio-analysis/6plT7nFGiXKSBP9HFSI4ef,243773,4,65,"['alternative hip hop', 'escape room', 'experimental hip hop', 'hip hop', 'rap', 'underground hip hop']"
Your Type,0.208,0.922,2,-3.553,1,0.0937,0.000214,0.195,0.0693,0.292,199.809,audio_features,2u3xBXKBWkNbNQJzpyXfqH,spotify:track:2u3xBXKBWkNbNQJzpyXfqH,https://api.spotify.com/v1/tracks/2u3xBXKBWkNbNQJzpyXfqH,https://api.spotify.com/v1/audio-analysis/2u3xBXKBWkNbNQJzpyXfqH,123547,4,27,"['art pop', 'indie pop', 'indie rock', 'shoegaze', 'toronto indie']"
Violent Crimes,0.665,0.417,1,-6.731,0,0.524,0.374,0.0,0.186,0.04,110.111,audio_features,2VYb3Fb5iK5Y8HGZ8oEEkp,spotify:track:2VYb3Fb5iK5Y8HGZ8oEEkp,https://api.spotify.com/v1/tracks/2VYb3Fb5iK5Y8HGZ8oEEkp,https://api.spotify.com/v1/audio-analysis/2VYb3Fb5iK5Y8HGZ8oEEkp,215320,4,6,"['chicago rap', 'rap']"
Crise existentielle,0.621,0.714,4,-7.211,1,0.0856,0.373,2.23e-06,0.115,0.735,91.029,audio_features,67Yhbs0ynyXBYp4Jb4QCTl,spotify:track:67Yhbs0ynyXBYp4Jb4QCTl,https://api.spotify.com/v1/tracks/67Yhbs0ynyXBYp4Jb4QCTl,https://api.spotify.com/v1/audio-analysis/67Yhbs0ynyXBYp4Jb4QCTl,206573,4,35,"['indie quebecois', 'pop quebecois']"
Boredom (feat. Rex Orange County & Anna of the North),0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938,audio_features,5WNYg3usc6H8N3MBEp4zVk,spotify:track:5WNYg3usc6H8N3MBEp4zVk,https://api.spotify.com/v1/tracks/5WNYg3usc6H8N3MBEp4zVk,https://api.spotify.com/v1/audio-analysis/5WNYg3usc6H8N3MBEp4zVk,320720,4,73,"['hip hop', 'rap']"
Tenth Plague,0.815,0.657,6,-9.709,1,0.141,0.0238,0.0021,0.299,0.617,107.035,audio_features,1MOfApznUq0XKd650PvbjX,spotify:track:1MOfApznUq0XKd650PvbjX,https://api.spotify.com/v1/tracks/1MOfApznUq0XKd650PvbjX,https://api.spotify.com/v1/audio-analysis/1MOfApznUq0XKd650PvbjX,146375,4,24,['escape room']
Hurt Feelings,0.69,0.462,8,-8.054,1,0.13,0.343,0.00218,0.113,0.325,157.655,audio_features,5p7GiBZNL1afJJDUrOA6C8,spotify:track:5p7GiBZNL1afJJDUrOA6C8,https://api.spotify.com/v1/tracks/5p7GiBZNL1afJJDUrOA6C8,https://api.spotify.com/v1/audio-analysis/5p7GiBZNL1afJJDUrOA6C8,245640,4,70,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
