,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genres
Old Friends,0.488,0.555,4,-7.315,1,0.0398,0.41,0.0,0.494,0.375,147.88,audio_features,66q3yNMEO2tOsiFny1IPQW,spotify:track:66q3yNMEO2tOsiFny1IPQW,https://api.spotify.com/v1/tracks/66q3yNMEO2tOsiFny1IPQW,https://api.spotify.com/v1/audio-analysis/66q3yNMEO2tOsiFny1IPQW,207720,4,46,"['indie folk', 'indie rock', 'new jersey indie', 'small room']"
Motion Sickness,0.652,0.545,1,-9.021,1,0.0358,0.774,0.0428,0.0847,0.626,107.019,audio_features,6LxcPUqx6noURdA5qc4BAT,spotify:track:6LxcPUqx6noURdA5qc4BAT,https://api.spotify.com/v1/tracks/6LxcPUqx6noURdA5qc4BAT,https://api.spotify.com/v1/audio-analysis/6LxcPUqx6noURdA5qc4BAT,229760,4,66,"['art pop', 'chamber pop', 'indie folk', 'indie pop', 'indie rock']"
Night Shift,0.48,0.31,9,-7.887,1,0.0258,0.312,1.47e-05,0.113,0.16,86.149,audio_features,2AF5Kzxb4pz7j79Ity84pP,spotify:track:2AF5Kzxb4pz7j79Ity84pP,https://api.spotify.com/v1/tracks/2AF5Kzxb4pz7j79Ity84pP,https://api.spotify.com/v1/audio-analysis/2AF5Kzxb4pz7j79Ity84pP,391829,4,62,"['art pop', 'chamber pop', 'electropop', 'indie folk', 'indie pop', 'indie rock']"
"Archie, Marry Me",0.27,0.83,7,-4.592,1,0.0741,0.00956,0.434,0.142,0.205,117.314,audio_features,5HLes17mwCwKt81mi0Tk35,spotify:track:5HLes17mwCwKt81mi0Tk35,https://api.spotify.com/v1/tracks/5HLes17mwCwKt81mi0Tk35,https://api.spotify.com/v1/audio-analysis/5HLes17mwCwKt81mi0Tk35,196560,4,60,"['art pop', 'indie pop', 'indie rock', 'shoegaze', 'toronto indie']"
Your Best American Girl,0.36,0.257,7,-9.655,1,0.0315,0.0159,0.00512,0.226,0.13,76.972,audio_features,172rW45GEnGoJUuWfm1drt,spotify:track:172rW45GEnGoJUuWfm1drt,https://api.spotify.com/v1/tracks/172rW45GEnGoJUuWfm1drt,https://api.spotify.com/v1/audio-analysis/172rW45GEnGoJUuWfm1drt,212184,4,59,"['art pop', 'brooklyn indie', 'chamber pop', 'dance pop', 'escape room', 'indie pop', 'indie rock']"
I Don't Really,0.783,0.104,8,-16.613,1,0.043,0.737,0.0,0.12,0.284,114.393,audio_features,2CMq5TKYdQex85SrRBPJnG,spotify:track:2CMq5TKYdQex85SrRBPJnG,https://api.spotify.com/v1/tracks/2CMq5TKYdQex85SrRBPJnG,https://api.spotify.com/v1/audio-analysis/2CMq5TKYdQex85SrRBPJnG,133561,4,40,"['canadian folk', 'canadian indie', 'chamber pop', 'deep new americana', 'freak folk', 'indie folk', 'indie rock', 'saskatchewan indie', 'stomp and holler']"
Shut Up Kiss Me,0.373,0.63,7,-5.131,1,0.0461,0.0552,0.0,0.107,0.352,115.942,audio_features,5uZLsGY9fknBd5Rxr7AIss,spotify:track:5uZLsGY9fknBd5Rxr7AIss,https://api.spotify.com/v1/tracks/5uZLsGY9fknBd5Rxr7AIss,https://api.spotify.com/v1/audio-analysis/5uZLsGY9fknBd5Rxr7AIss,202200,4,61,"['alternative americana', 'art pop', 'chamber pop', 'chamber psych', 'dream pop', 'electropop', 'experimental pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock']"
Slow Burn,0.555,0.43,2,-9.105,1,0.0295,0.462,0.000191,0.0869,0.274,147.613,audio_features,6ET9kf9riLETWs9lePUEAI,spotify:track:6ET9kf9riLETWs9lePUEAI,https://api.spotify.com/v1/tracks/6ET9kf9riLETWs9lePUEAI,https://api.spotify.com/v1/audio-analysis/6ET9kf9riLETWs9lePUEAI,246133,4,68,"['contemporary country', 'country dawn', 'pop', 'texas country']"
Shark Smile - Edit,0.688,0.737,6,-9.31,0,0.0678,0.0769,0.641,0.114,0.666,131.042,audio_features,4rCrSoFxqRFmnHQyFGlkbA,spotify:track:4rCrSoFxqRFmnHQyFGlkbA,https://api.spotify.com/v1/tracks/4rCrSoFxqRFmnHQyFGlkbA,https://api.spotify.com/v1/audio-analysis/4rCrSoFxqRFmnHQyFGlkbA,194760,4,60,"['art pop', 'brooklyn indie', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'small room', 'stomp and holler']"
Avant Gardener,0.443,0.737,0,-4.509,1,0.0293,0.00149,0.0032,0.121,0.746,115.277,audio_features,3LueS3mbuB1yaJNN0Ale6U,spotify:track:3LueS3mbuB1yaJNN0Ale6U,https://api.spotify.com/v1/tracks/3LueS3mbuB1yaJNN0Ale6U,https://api.spotify.com/v1/audio-analysis/3LueS3mbuB1yaJNN0Ale6U,312227,4,56,"['art pop', 'australian indie', 'indie pop', 'indie rock', 'melbourne indie']"
