,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genres
Marie Tu Pleures,0.64,0.681,6,-6.928,0,0.0427,0.475,0.000712,0.0935,0.589,93.145,audio_features,4wX5eD6YPyRBc6GB5Wzo7a,spotify:track:4wX5eD6YPyRBc6GB5Wzo7a,https://api.spotify.com/v1/tracks/4wX5eD6YPyRBc6GB5Wzo7a,https://api.spotify.com/v1/audio-analysis/4wX5eD6YPyRBc6GB5Wzo7a,210053,4,35,"['indie quebecois', 'rock quebecois']"
Pitou,0.722,0.581,1,-8.241,1,0.0515,0.0674,5.07e-05,0.114,0.802,97.024,audio_features,1Nagyi5mquIU038cAvfYLH,spotify:track:1Nagyi5mquIU038cAvfYLH,https://api.spotify.com/v1/tracks/1Nagyi5mquIU038cAvfYLH,https://api.spotify.com/v1/audio-analysis/1Nagyi5mquIU038cAvfYLH,196514,4,43,"['hip hop quebecois', 'indie quebecois']"
Mélancolie,0.447,0.332,8,-12.851,1,0.0415,0.95,0.017,0.351,0.588,170.97,audio_features,7rc2udFgplCjchy5V5pxFo,spotify:track:7rc2udFgplCjchy5V5pxFo,https://api.spotify.com/v1/tracks/7rc2udFgplCjchy5V5pxFo,https://api.spotify.com/v1/audio-analysis/7rc2udFgplCjchy5V5pxFo,162187,3,38,"['chamber pop', 'indie folk']"
Plus tôt,0.337,0.153,2,-20.909,1,0.0415,0.963,0.921,0.107,0.166,133.978,audio_features,5bdEGs3pW9BcClp7QBvPLF,spotify:track:5bdEGs3pW9BcClp7QBvPLF,https://api.spotify.com/v1/tracks/5bdEGs3pW9BcClp7QBvPLF,https://api.spotify.com/v1/audio-analysis/5bdEGs3pW9BcClp7QBvPLF,179896,1,54,['focus']
Crystel,0.368,0.709,1,-5.589,0,0.0389,0.0141,0.0801,0.113,0.521,95.717,audio_features,7GnkEHlvVrGZaG1xhdprDU,spotify:track:7GnkEHlvVrGZaG1xhdprDU,https://api.spotify.com/v1/tracks/7GnkEHlvVrGZaG1xhdprDU,https://api.spotify.com/v1/audio-analysis/7GnkEHlvVrGZaG1xhdprDU,171640,3,34,['indie quebecois']
Rosier-douleur,0.82,0.407,4,-11.301,0,0.0387,0.771,0.00544,0.113,0.77,125.642,audio_features,7iGASYouVLuiMggmfEB8MM,spotify:track:7iGASYouVLuiMggmfEB8MM,https://api.spotify.com/v1/tracks/7iGASYouVLuiMggmfEB8MM,https://api.spotify.com/v1/audio-analysis/7iGASYouVLuiMggmfEB8MM,138027,4,39,"['indie quebecois', 'pop quebecois', 'rock quebecois']"
Fou fou fou mon minou,0.633,0.835,11,-4.437,0,0.0252,0.114,0.806,0.386,0.773,103.961,audio_features,0V31InZ8QrZ4bFHeZRXvXG,spotify:track:0V31InZ8QrZ4bFHeZRXvXG,https://api.spotify.com/v1/tracks/0V31InZ8QrZ4bFHeZRXvXG,https://api.spotify.com/v1/audio-analysis/0V31InZ8QrZ4bFHeZRXvXG,197373,4,25,"['indie quebecois', 'rock quebecois']"
Chaise musicale,0.606,0.878,9,-5.845,1,0.0829,0.0282,0.0,0.303,0.92,139.808,audio_features,39w7tpfCbXlZrsOnk0KD8Y,spotify:track:39w7tpfCbXlZrsOnk0KD8Y,https://api.spotify.com/v1/tracks/39w7tpfCbXlZrsOnk0KD8Y,https://api.spotify.com/v1/audio-analysis/39w7tpfCbXlZrsOnk0KD8Y,179067,4,34,['indie quebecois']
Berceuse,0.573,0.0344,3,-22.752,1,0.077,0.994,0.96,0.122,0.0521,78.103,audio_features,1oRiHGYKCbWRI5OFCIHK1N,spotify:track:1oRiHGYKCbWRI5OFCIHK1N,https://api.spotify.com/v1/tracks/1oRiHGYKCbWRI5OFCIHK1N,https://api.spotify.com/v1/audio-analysis/1oRiHGYKCbWRI5OFCIHK1N,154947,3,56,['focus']
Sous la lune,0.152,0.588,9,-10.549,1,0.0352,0.000638,0.00041,0.196,0.496,184.754,audio_features,2gv5ytRfai41po0nGy718a,spotify:track:2gv5ytRfai41po0nGy718a,https://api.spotify.com/v1/tracks/2gv5ytRfai41po0nGy718a,https://api.spotify.com/v1/audio-analysis/2gv5ytRfai41po0nGy718a,219147,3,13,[]
Si tu reviens,0.485,0.406,4,-9.541,0,0.0369,0.694,0.0,0.0739,0.54,74.547,audio_features,3YVISWunu7CRwkRNikYubw,spotify:track:3YVISWunu7CRwkRNikYubw,https://api.spotify.com/v1/tracks/3YVISWunu7CRwkRNikYubw,https://api.spotify.com/v1/audio-analysis/3YVISWunu7CRwkRNikYubw,204013,4,38,['indie quebecois']
Loup-garou,0.631,0.257,1,-12.713,0,0.0268,0.844,0.0335,0.169,0.283,93.95,audio_features,3ows5N4pzKmAoZVkSl8ito,spotify:track:3ows5N4pzKmAoZVkSl8ito,https://api.spotify.com/v1/tracks/3ows5N4pzKmAoZVkSl8ito,https://api.spotify.com/v1/audio-analysis/3ows5N4pzKmAoZVkSl8ito,220413,4,15,['indie quebecois']
Gainsbourg,0.807,0.741,4,-9.091,0,0.108,0.119,0.0149,0.37,0.839,109.996,audio_features,78LCyYqnfKvUq9ke5oZkIY,spotify:track:78LCyYqnfKvUq9ke5oZkIY,https://api.spotify.com/v1/tracks/78LCyYqnfKvUq9ke5oZkIY,https://api.spotify.com/v1/audio-analysis/78LCyYqnfKvUq9ke5oZkIY,195347,4,36,"['hip hop quebecois', 'indie quebecois', 'montreal indie']"
Fatigue,0.613,0.856,11,-3.986,1,0.0325,0.0038,0.0106,0.107,0.586,129.756,audio_features,1uXP4ggglaDBYDhpoqPLPY,spotify:track:1uXP4ggglaDBYDhpoqPLPY,https://api.spotify.com/v1/tracks/1uXP4ggglaDBYDhpoqPLPY,https://api.spotify.com/v1/audio-analysis/1uXP4ggglaDBYDhpoqPLPY,193422,4,12,"['canadian post-punk', 'indie quebecois']"
Maïa,0.716,0.609,2,-6.871,0,0.04,0.203,6.57e-06,0.221,0.757,137.033,audio_features,74VUaKDV1hUSpEpMxe2Ct4,spotify:track:74VUaKDV1hUSpEpMxe2Ct4,https://api.spotify.com/v1/tracks/74VUaKDV1hUSpEpMxe2Ct4,https://api.spotify.com/v1/audio-analysis/74VUaKDV1hUSpEpMxe2Ct4,268427,4,24,['indie quebecois']
I Lost My Baby,0.662,0.436,9,-12.9,0,0.0651,0.853,0.0,0.0624,0.627,92.857,audio_features,4tSffeciMCcNIvITmh6QHP,spotify:track:4tSffeciMCcNIvITmh6QHP,https://api.spotify.com/v1/tracks/4tSffeciMCcNIvITmh6QHP,https://api.spotify.com/v1/audio-analysis/4tSffeciMCcNIvITmh6QHP,178293,4,46,"['indie quebecois', 'pop quebecois', 'rock quebecois']"
À temps,0.359,0.634,10,-5.978,0,0.0376,0.000681,0.349,0.185,0.426,117.906,audio_features,5ytSHYSWO0M2dNgn4FoUkC,spotify:track:5ytSHYSWO0M2dNgn4FoUkC,https://api.spotify.com/v1/tracks/5ytSHYSWO0M2dNgn4FoUkC,https://api.spotify.com/v1/audio-analysis/5ytSHYSWO0M2dNgn4FoUkC,285322,4,17,['indie quebecois']
Rien à faire,0.664,0.707,11,-6.746,0,0.03,0.0059,0.00404,0.26,0.861,120.615,audio_features,3432DExMgllBdhEvi4z9g3,spotify:track:3432DExMgllBdhEvi4z9g3,https://api.spotify.com/v1/tracks/3432DExMgllBdhEvi4z9g3,https://api.spotify.com/v1/audio-analysis/3432DExMgllBdhEvi4z9g3,219493,4,18,"['indie quebecois', 'pop quebecois']"
Ton équilibre,0.266,0.316,8,-9.594,0,0.0447,0.92,0.000703,0.188,0.233,58.827,audio_features,1PktdmpT9r2gAOQtASLK4z,spotify:track:1PktdmpT9r2gAOQtASLK4z,https://api.spotify.com/v1/tracks/1PktdmpT9r2gAOQtASLK4z,https://api.spotify.com/v1/audio-analysis/1PktdmpT9r2gAOQtASLK4z,230347,3,34,['indie quebecois']
Natalie,0.563,0.432,0,-11.43,1,0.0264,0.128,0.00281,0.112,0.15,106.02,audio_features,1VV4Cn1Zsc7v6gTRjvCqfJ,spotify:track:1VV4Cn1Zsc7v6gTRjvCqfJ,https://api.spotify.com/v1/tracks/1VV4Cn1Zsc7v6gTRjvCqfJ,https://api.spotify.com/v1/audio-analysis/1VV4Cn1Zsc7v6gTRjvCqfJ,274827,4,46,"['canadian electropop', 'indie quebecois', 'quebec indie']"
Motel 1755,0.557,0.687,6,-6.431,0,0.0259,0.0455,0.000124,0.288,0.818,134.135,audio_features,0xsY1CEgXGzAVqd2qDGqpi,spotify:track:0xsY1CEgXGzAVqd2qDGqpi,https://api.spotify.com/v1/tracks/0xsY1CEgXGzAVqd2qDGqpi,https://api.spotify.com/v1/audio-analysis/0xsY1CEgXGzAVqd2qDGqpi,157391,4,21,"['indie quebecois', 'new brunswick indie']"
Ready to Start,0.282,0.932,9,-4.701,1,0.0387,0.12,0.0335,0.0692,0.536,190.08,audio_features,01wsKcJ8ptqUmatpJlEGYj,spotify:track:01wsKcJ8ptqUmatpJlEGYj,https://api.spotify.com/v1/tracks/01wsKcJ8ptqUmatpJlEGYj,https://api.spotify.com/v1/audio-analysis/01wsKcJ8ptqUmatpJlEGYj,255893,4,61,"['alternative dance', 'alternative rock', 'baroque pop', 'canadian indie', 'chamber pop', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock']"
Fille de personne II,0.522,0.874,0,-3.856,1,0.0659,0.0139,1.86e-06,0.673,0.398,108.087,audio_features,6u3A43RMR8Tqrw8aYZT1Yd,spotify:track:6u3A43RMR8Tqrw8aYZT1Yd,https://api.spotify.com/v1/tracks/6u3A43RMR8Tqrw8aYZT1Yd,https://api.spotify.com/v1/audio-analysis/6u3A43RMR8Tqrw8aYZT1Yd,238637,4,41,"['indie quebecois', 'pop quebecois']"
